FrameID,StartTime,EndTime,Duration,MOSI_Bytes,MISO_Bytes
27,-0.473263498,-0.472871016,0.0003924820000000273,0x4C 0x05 0xFA 0x80 0x02 0x04 0x98 0x40 0x3D 0x81 0x0C 0x41 0x3B 0xAB 0x0C 0x4F 0x3B 0xA9 0x0C 0x43 0x3B 0xB8 0x0C 0x01 0x35 0xD3 0x5B 0x94 0x65 0xB4 0x08 0x44 0x3B 0xC2 0x0C 0x55 0x3B 0xC0 0x0C 0x47 0x3B 0xCE 0x0C 0x56 0x3B 0xCC 0x0C 0x49 0x3B 0xDB 0x0C 0x4C 0x3B 0xD9 0x0C 0x4A,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
28,-0.47126313,-0.470870642,0.00039248799999996864,0x4C 0x05 0xFA 0x80 0x02 0x04 0xC9 0x3B 0xE8 0x0C 0x4D 0x3B 0xF7 0x0C 0x50 0x3B 0xFB 0x0C 0x57 0x3B 0xF9 0x0C 0x51 0x3B 0x08 0x0D 0x52 0x3B 0x27 0x0D 0x53 0x3B 0x14 0x0D 0x54 0x3B 0x2B 0x0D 0x58 0x3A 0xCD 0x0B 0x76 0x11 0x10 0x32 0x0A 0x30 0x40 0xB3 0x59 0x11 0x40 0xB3 0xFF 0xE3,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
29,-0.46926318,-0.468870696,0.00039248400000002626,0x4C 0x05 0xFA 0x80 0x02 0x04 0xFA 0x20 0xFE 0x03 0x14 0x94 0x14 0x80 0x98 0x37 0x11 0x10 0x35 0xF7 0x11 0xC7 0x6C 0x93 0x6C 0x14 0x59 0xC0 0x92 0x03 0x22 0xC0 0xB3 0x03 0x23 0xC2 0x64 0xFB 0x0B 0xFF 0x21 0xC6 0x65 0x14 0x61 0xF4 0x0B 0x71 0x11 0x41 0x98 0x75 0x83 0x63 0xE4 0x0F,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
30,-0.467263116,-0.466870632,0.00039248399999997075,0x4C 0x05 0xFA 0x80 0x02 0x05 0x2B 0x20 0x61 0xA2 0x0F 0x11 0x7B 0x80 0x3C 0x80 0x5D 0x80 0xCC 0x74 0x9E 0x80 0x44 0x74 0x88 0x74 0xBF 0x80 0x02 0x43 0x0C 0x60 0x03 0x40 0x0E 0x60 0x04 0x40 0xC0 0x60 0x05 0x41 0x64 0x43 0x06 0x60 0x02 0x40 0x40 0x60 0x23 0x41 0xC4 0x60 0x22 0x44,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
31,-0.46526301,-0.46487052,0.0003924899999999676,0x4C 0x05 0xFA 0x80 0x02 0x05 0x5C 0xD4 0x60 0x04 0x61 0x21 0x44 0xC4 0x60 0x21 0x42 0x48 0x60 0x23 0x41 0x84 0x60 0x42 0x42 0xC8 0x60 0x5F 0x10 0xCD 0x74 0x60 0xAA 0xBB 0x07 0x80 0x98 0x1A 0x10 0x10 0x35 0xDD 0x10 0xC3 0x6C 0x93 0x6C 0x34 0x58 0xE0 0x82 0x00 0x22 0xE0 0xA3 0x00,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
32,-0.463263048,-0.462870552,0.00039249600000001994,0x4C 0x05 0xFA 0x80 0x02 0x05 0x8D 0x23 0xC6 0x64 0xFB 0x0B 0xFF 0x20 0x82 0x65 0x14 0x61 0xF4 0x0B 0xA9 0x07 0xB6 0x59 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6 0x64 0xFA 0x0B 0x62 0x98 0x05 0x27 0x71 0x07 0x08 0x81,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
33,-0.46126299,-0.460870488,0.00039250199999996127,0x4C 0x05 0xFA 0x80 0x02 0x05 0xBE 0x00 0x50 0x00 0x81 0x00 0x50 0x00 0xFF 0x00 0x50 0x55 0xAA 0x66 0x00 0x00 0x00 0x00 0x30 0x00 0xF8 0x00 0x50 0x00 0x01 0x00 0x50 0x66 0x99 0x55 0x00 0x00 0x40 0x00 0x50 0x00 0x62 0x00 0x50 0xA0 0x4B 0x00 0x50 0xA0 0x61 0x00 0x50 0x08 0x00 0x00,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
34,-0.459262914,-0.458870424,0.0003924900000000231,0x4C 0x05 0xFA 0x80 0x02 0x05 0xEF 0x30 0x00 0x77 0x00 0x50 0xA1 0xE4 0x09 0x00 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6 0x64 0xFA 0x0B 0x62 0x98 0x09 0x27 0x48 0x07 0xB2 0x59 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
35,-0.457262812,-0.456870312,0.00039250000000001783,0x4C 0x05 0xFA 0x80 0x02 0x06 0x20 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6 0x64 0xFA 0x0B 0x62 0x98 0x04 0x27 0x3E 0x07 0xAA 0x59 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6 0x64 0xFA 0x0B 0x62,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
36,-0.455262814,-0.45487032,0.000392494000000021,0x4C 0x05 0xFA 0x80 0x02 0x06 0x51 0x98 0x02 0x27 0x32 0x07 0xA1 0xE4 0x0E 0x00 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6 0x64 0xFA 0x0B 0x62 0x98 0x0E 0x27 0x25 0x07 0xA1 0xE4 0x0B 0x00 0x62 0xB8 0xA1 0xB8 0x47 0x6D,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
37,-0.453263226,-0.452870732,0.000392494000000021,0x4C 0x05 0xFA 0x80 0x02 0x06 0x82 0xC0 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6 0x64 0xFA 0x0B 0x62 0x98 0x0B 0x27 0x18 0x07 0xA1 0xE4 0x0D 0x00 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
38,-0.451262604,-0.45087012,0.00039248400000002626,0x4C 0x05 0xFA 0x80 0x02 0x06 0xB3 0x64 0xFA 0x0B 0x62 0x98 0x0D 0x27 0x17 0x07 0xA0 0x98 0x5C 0x61 0xA0 0x85 0xA0 0xA1 0x00 0x27 0x11 0x07 0xA1 0xE4 0x0F 0x00 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6 0x64 0xFA 0x0B,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
39,-0.44926255,-0.448870056,0.0003924939999999655,0x4C 0x05 0xFA 0x80 0x02 0x06 0xE4 0x62 0x98 0x0F 0x27 0xF8 0x06 0xBA 0x59 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0xD6 0x64 0xFA 0x0B 0x62 0x98 0x06 0x27 0xF0 0x06 0xA1 0xE4 0x0A 0x00 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
40,-0.447262802,-0.446870302,0.00039250000000001783,0x4C 0x05 0xFA 0x80 0x02 0x07 0x15 0x98 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0x4E 0x65 0xFA 0x0B 0x62 0x98 0x0A 0x27 0xAD 0x06 0xA0 0x98 0x5C 0x61 0xC0 0x85 0x01 0x27 0xC0 0xA1 0xA1 0x85 0xA1 0xA1 0xD7 0x06 0xAE 0x59 0x62 0xB8 0xA1 0xB8 0x47 0x6D 0xC0 0x98,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
41,-0.445262798,-0.444870308,0.0003924900000000231,0x4C 0x05 0xFA 0x80 0x02 0x07 0x46 0x9C 0x61 0x60 0x86 0x00 0x26 0x60 0xA5 0x00 0x25 0x61 0x98 0x4E 0x65 0xFA 0x0B 0x62 0x98 0x03 0x27 0x95 0x06 0xD4 0x14 0x8C 0x13 0x6C 0x13 0xAD 0x13 0x55 0x31 0x60 0xB4 0x26 0x33 0x06 0x37 0x60 0xB4 0x60 0xA5 0xCA 0x13 0x6B 0x13 0x60 0x93 0x00,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
42,-0.443262108,-0.442869624,0.00039248399999997075,0x4C 0x05 0xFA 0x80 0x02 0x07 0x77 0x85 0x00 0x74 0x43 0x3B 0x01 0x33 0xE3 0xC4 0x20 0x0C 0xFF 0xE3 0x21 0xFD 0x00 0x33 0x55 0x31 0x61 0xA6 0x00 0x85 0x00 0x74 0xFF 0xE3 0x1A 0xFD 0xE0 0xA6 0x55 0x31 0x00 0x85 0x00 0x74 0xFF 0xE3 0x14 0xFD 0x03 0x33 0x0A 0x30 0x61 0xA6 0x10 0x33,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
43,-0.441262324,-0.440869822,0.00039250199999996127,0x4C 0x05 0xFA 0x80 0x02 0x07 0xA8 0x60 0xB4 0x7E 0x12 0x60 0xB4 0xFF 0xE3 0xC5 0xFC 0x94 0x14 0x21 0x14 0x23 0xEA 0x00 0x40 0x50 0x93 0x3A 0x12 0x9A 0x3A 0x50 0xB3 0x4C 0x91 0x40 0xB8 0x54 0x93 0xB8 0x3A 0x54 0xB3 0x54 0x93 0x98 0x3A 0x54 0xB3 0x50 0x93 0xBA 0x3A 0x50 0xB3 0x03,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
44,-0.439262628,-0.43887014,0.00039248799999996864,0x4C 0x05 0xFA 0x80 0x02 0x07 0xD9 0x6C 0x03 0x6C 0x03 0x6C 0x60 0x98 0x6C 0xB1 0x01 0x14 0x3C 0x78 0x00 0x00 0xD2 0x14 0xA9 0x12 0x69 0x12 0x26 0x32 0x60 0xB5 0x26 0x33 0x2D 0x12 0x60 0xB5 0x00 0xE4 0x01 0x20 0x66 0x12 0x40 0xA3 0x4B 0x12 0x60 0x82 0x63 0xE4 0x02 0x30 0x60 0xA2,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
45,-0.437262618,-0.436870124,0.0003924939999999655,0x4C 0x05 0xFA 0x80 0x02 0x08 0x0A 0x60 0x82 0x63 0xEC 0x10 0x00 0x60 0xA2 0x0D 0x33 0x60 0xA1 0x60 0x91 0x63 0xE4 0x00 0x37 0x63 0xEC 0x00 0x03 0x60 0xB1 0x00 0x33 0x05 0x2B 0x62 0xA1 0x23 0xEA 0x00 0x07 0x80 0x91 0x64 0xC4 0x43 0x20 0x60 0xB1 0x1C 0x33 0x61 0xDC 0x00 0x01 0x81,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
46,-0.43526256,-0.434870058,0.0003925020000000168,0x4C 0x05 0xFA 0x80 0x02 0x08 0x3B 0xD8 0x40 0x20 0x84 0xE4 0x00 0x37 0x84 0xEC 0x00 0x01 0x81 0xDC 0x40 0x20 0x61 0xD8 0x40 0x20 0x8B 0x3B 0x8C 0x3B 0x63 0xEC 0x00 0x10 0x61 0xDC 0x40 0x20 0x07 0x33 0x61 0xDC 0x02 0x01 0x60 0x82 0x63 0xE4 0x01 0x30 0xC0 0x6C 0x60 0xA2 0x10 0x33,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
47,-0.433262264,-0.432869782,0.0003924820000000273,0x4C 0x05 0xFA 0x80 0x02 0x08 0x6C 0x0A 0x30 0x60 0xB5 0x6C 0x11 0x60 0xB5 0xFF 0xE3 0x62 0xFC 0x92 0x14 0x00 0x00 0xD2 0x14 0xA4 0x11 0x64 0x11 0x26 0x32 0x60 0xB5 0x26 0x33 0x00 0x31 0x60 0xB5 0x00 0xE4 0x01 0x20 0x61 0x11 0x40 0xA3 0x46 0x11 0x60 0x82 0x63 0xE4 0x02 0x30 0x60,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
48,-0.431262336,-0.430869836,0.00039250000000001783,0x4C 0x05 0xFA 0x80 0x02 0x08 0x9D 0xA2 0x60 0x82 0x63 0xE4 0x10 0x30 0x60 0xA2 0x63 0x11 0x20 0xA3 0x21 0xA3 0x22 0x11 0x00 0x33 0x08 0x2B 0x60 0xA1 0x60 0x91 0x63 0xE4 0x00 0x37 0x63 0xEC 0x00 0x01 0x60 0xB1 0x00 0x33 0x05 0x2B 0x62 0xA1 0x23 0xEA 0x00 0x07 0x80 0x91 0x64 0xC4,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
49,-0.42926269,-0.4288702,0.0003924900000000231,0x4C 0x05 0xFA 0x80 0x02 0x08 0xCE 0x43 0x20 0x60 0xB1 0x1C 0x33 0x61 0xDC 0x00 0x01 0x81 0xD8 0x40 0x20 0x84 0xE4 0x00 0x37 0x84 0xEC 0x00 0x01 0x81 0xDC 0x40 0x20 0x61 0xD8 0x40 0x20 0x8B 0x3B 0x8C 0x3B 0x63 0xEC 0x00 0x10 0x61 0xDC 0x40 0x20 0x25 0x33 0x61 0xDC 0x02 0x01 0x60,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
50,-0.427262082,-0.42686959,0.00039249199999996653,0x4C 0x05 0xFA 0x80 0x02 0x08 0xFF 0x82 0x63 0xE4 0x01 0x30 0xC0 0x6C 0x60 0xA2 0x10 0x33 0x17 0x04 0x00 0xFF 0x00 0x50 0x55 0xAA 0x66 0x00 0x00 0x00 0x00 0x30 0xA0 0x55 0x00 0x50 0xC4 0x55 0x00 0x30 0x66 0x99 0x55 0x00 0x00 0x01 0x00 0x40 0x00 0x4A 0x00 0x50 0x00 0x45 0x00 0x50,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
51,-0.425261704,-0.424869214,0.0003924900000000231,0x4C 0x05 0xFA 0x80 0x02 0x09 0x30 0x00 0x46 0x00 0x50 0x00 0x48 0x00 0x50 0x0A 0x30 0x60 0xB5 0x64 0x13 0x60 0xB5 0xFF 0xE3 0xFC 0xFB 0x92 0x14 0x00 0x00 0xD1 0x14 0x03 0x6D 0x83 0x6C 0x01 0x31 0x00 0x30 0xFF 0xE3 0x79 0xFD 0x01 0x31 0x01 0x30 0x44 0xE4 0x4F 0x01 0xFF 0xE3 0x73,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF
